data:text/csv;charset=utf-8,﻿Chat ID,Customer Name,Status,Priority,Category,AI Summary,Created At
"chat-058","ลูกค้า #cust-003","completed","high","ฝาก-ถอน","ลูกค้าไม่สามารถถอนเงินออกจากบัญชีได้และต้องการความช่วยเหลือ","10/7/2569 16:26:04"
"chat-060","ลูกค้า #cust-003","completed","medium","ปัญหาการเข้าสู่ระบบ","ลูกค้าแจ้งว่าไม่สามารถเข้าสู่ระบบได้เนื่องจากรหัสผ่านไม่ถูกต้อง","10/7/2569 16:58:45"
"chat-061","ลูกค้า #cust-003","completed","high","ปัญหาการเล่นเกม","ลูกค้ารายงานปัญหาเกมค้างหรือทำงานผิดปกติ","10/7/2569 17:05:03"
"chat-059","ลูกค้า #cust-003","completed","medium","ไม่ใช่ปัญหา","ลูกค้าสอบถามว่าการแนะนำเพื่อนจะได้รับโบนัสหรือไม่","10/7/2569 16:42:53"
"chat-064","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งว่าหน้าเว็บค้างและไม่สามารถใช้งานต่อได้","10/7/2569 17:47:12"
"chat-067","ลูกค้า #cust-003","completed","low","ฝาก-ถอน","ลูกค้าสอบถามว่าการถอนเงินจะใช้เวลานานหรือไม่?","11/7/2569 11:29:36"
"chat-070","ลูกค้า #cust-003","completed","low","หน้าเว็บค้าง/โหลดช้า","ลูกค้ารายงานว่าหน้าเว็บไม่สามารถแสดงผลได้เนื่องจากจอสว่างจ้ามองไม่เห็นอะไร","11/7/2569 12:31:18"
"chat-062","ลูกค้า #cust-003","completed","low","ไม่ใช่ปัญหา","ลูกค้าสอบถามวิธีขอโบนัสไทม์","10/7/2569 17:11:35"
"chat-066","ลูกค้า #cust-003","completed","low","ไม่ใช่ปัญหา","ลูกค้าสอบถามรายละเอียดบัญชีธนาคารเพื่อโอนเงิน","11/7/2569 10:45:48"
"chat-068","ลูกค้า #cust-003","completed","low","ไม่ใช่ปัญหา","ลูกค้าสอบถามยอดเสียจากบัญชีผู้ใช้ของตนเอง","11/7/2569 11:30:55"
"chat-069","ลูกค้า #cust-003","completed","low","ข้อเสนอแนะและร้องเรียน","ลูกค้าแจ้งว่าไม่ได้รับการตอบกลับจากทีมงานและแสดงความผิดหวังในบริการ","11/7/2569 12:29:09"
"chat-091","ลูกค้า #cust-003","completed","low","ไม่ใช่ปัญหา","ลูกค้าสอบถามเลขบัญชีและยอดเสีย และแจ้งว่าทายไม่เห็นได้","14/7/2569 12:04:47"
"chat-072","ลูกค้า #cust-003","completed","medium","ไม่ใช่ปัญหา","ลูกค้าสอบถามว่าการแนะนำเพื่อนได้รับรางวัลหรือโปรโมชั่นอะไรบ้าง","11/7/2569 12:36:27"
"chat-086","ลูกค้า #cust-003","completed","medium","ปัญหาการเข้าสู่ระบบ","ลูกค้าแจ้งว่าไม่สามารถเข้าสู่ระบบได้และไม่ได้รับยอดเสียคืน","13/7/2569 17:43:11"
"chat-071","ลูกค้า #cust-003","completed","high","กดปุ่มแล้วไม่ตอบสนอง","ลูกค้าพบปัญหาคลิกใดๆบนหน้าเว็บไม่ได้ และกดไปยังโปรไฟล์ไม่ตอบรับ","11/7/2569 12:33:34"
"chat-073","ลูกค้า #cust-003","completed","high","โปรโมชั่นและโบนัส","ลูกค้าแจ้งว่ายอดเสียที่ควรได้รับไม่ได้เข้าในบัญชีของตนเองเนื่องจากระบบตรวจสอบดีเลย์","11/7/2569 17:37:03"
"chat-074","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งว่าไม่สามารถดูหน้าสตรีมหรือโหลดเนื้อหาได้","13/7/2569 11:10:41"
"chat-076","ลูกค้า #cust-003","completed","medium","ฝาก-ถอน","ลูกค้าแจ้งว่าไม่สามารถฝากเงินได้","13/7/2569 12:15:24"
"chat-085","ลูกค้า #cust-003","completed","low","ไม่ใช่ปัญหา","ลูกค้าสอบถามเกี่ยวกับการแนะนำเพื่อนและโปรโมชั่นสำหรับลูกค้าใหม่","13/7/2569 17:32:43"
"chat-075","ลูกค้า #cust-003","completed","high","ปัญหาการเข้าสู่ระบบ","ลูกค้าแจ้งว่าไม่สามารถเข้าสู่ระบบเพื่อเข้าร่วมกิจกรรมบอลโลกได้","13/7/2569 11:29:11"
"chat-077","ลูกค้า #cust-003","completed","medium","ปัญหาการเข้าสู่ระบบ","ลูกค้าแจ้งว่าลืมรหัสผ่านและพบปัญหาการฝากเงินต่ำกว่าพันไม่ได้","13/7/2569 12:20:40"
"chat-078","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งปัญหาหน้าเว็บโหลดไม่เสร็จและขอเลขบัญชี","13/7/2569 12:22:09"
"chat-079","ลูกค้า #cust-003","completed","high","ฝาก-ถอน","ลูกค้าแจ้งว่ายอดเงินที่ฝากเข้ามาไม่ได้ปรับอัตโนมัติและไม่มีเหรียญเพิ่มเติมเมื่อลูกค้าแลกเหรียญ","13/7/2569 12:40:29"
"chat-092","ลูกค้า #cust-003","completed","high","ปัญหาการเข้าสู่ระบบ","ลูกค้าแจ้งว่ามีปัญหาในการถอนเงินและเข้าสู่ระบบไม่ได้","14/7/2569 12:51:45"
"chat-082","ลูกค้า #cust-003","completed","medium","เข้าหน้าเว็บไม่ได้/ลิงก์เสีย","ลูกค้าแจ้งว่าหน้าจอเป็นสีดำและไม่สามารถเข้าระบบหรือถอนเงินได้","13/7/2569 15:17:15"
"chat-080","ลูกค้า #cust-003","completed","high","ฝาก-ถอน","ลูกค้าโอนเงินผิดบัญชีและแจ้งปัญหาไม่ได้รับโบนัสยอดเสีย พร้อมแจ้งยอดเงินฝากยังไม่เข้าระบบ","13/7/2569 12:54:01"
"chat-081","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งปัญหาหน้าเว็บค้างและไม่สามารถทำรายการฝากเงินได้","13/7/2569 15:01:41"
"chat-083","ลูกค้า #cust-003","completed","medium","ฝาก-ถอน","ลูกค้าแจ้งปัญหาการถอนเงินช้าและสมัครสมาชิก","13/7/2569 16:45:17"
"chat-084","ลูกค้า #cust-003","completed","medium","หน้าเว็บค้าง/โหลดช้า","ลูกค้าแจ้งปัญหาเข้าหน้าเว็บไม่ได้และยอดเงินฝากยังไม่เข้าระบบ","13/7/2569 16:55:39"
"chat-093","ลูกค้า #cust-003","completed","high","ฝาก-ถอน","ลูกค้าแจ้งว่าโอนเงินแล้วยอดไม่ปรับอัตโนมัติ","14/7/2569 12:57:58"
"chat-087","ลูกค้า #cust-003","completed","high","กดปุ่มแล้วไม่ตอบสนอง","ลูกค้าร้องเรียนเกี่ยวกับระบบใช้งานที่ทำให้เกิดความไม่พอใจและอารมณ์โกรธเนื่องจากปัญหาการใช้งาน","13/7/2569 18:18:29"
"chat-088","ลูกค้า #cust-003","completed","medium","ปัญหาบราวเซอร์/อุปกรณ์","ลูกค้าแจ้งปัญหาว่าเว็บโหลดช้าและขอโบนัส","13/7/2569 18:25:42"
